IncidntNum,Category,Description,DayOfWeek,Date,time,Pddistrict,Resolution,Address,X,Y,location,Pdid
150467944,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,23:59,TENDERLOIN,NONE,TAYLOR ST / OFARRELL ST,-122.4113284,37.78599631,"(37.7859963050476, -122.411328369311)",1.50E+13
150468629,VEHICLE THEFT,STOLEN TRUCK,Thursday,05/28/2015,23:59,MISSION,NONE,100 Block of PORTOLA DR,-122.4442765,37.74849651,"(37.7484965077695, -122.444276468858)",1.50E+13
156133410,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,05/28/2015,23:55,NORTHERN,NONE,1300 Block of POLK ST,-122.4204224,37.78892336,"(37.7889233553137, -122.420422400634)",1.56E+13
150478769,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,05/28/2015,23:50,CENTRAL,NONE,500 Block of UNION ST,-122.4079749,37.80064664,"(37.8006466385111, -122.407974943839)",1.50E+13
156131458,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,23:30,BAYVIEW,NONE,BACON ST / GOETTINGEN ST,-122.406567,37.72685811,"(37.7268581085141, -122.406566957339)",1.56E+13
150468077,NON-CRIMINAL,AIDED CASE,Thursday,05/28/2015,23:30,MISSION,NONE,200 Block of SOUTH VAN NESS AV,-122.4176808,37.76950325,"(37.7695032506114, -122.417680776476)",1.50E+13
156128665,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,23:30,NORTHERN,NONE,GOUGH ST / PACIFIC AV,-122.4265159,37.7943964,"(37.7943964025931, -122.426515938127)",1.56E+13
150467079,ROBBERY,ROBBERY ON THE STREET WITH A KNIFE,Thursday,05/28/2015,23:15,MISSION,NONE,1200 Block of YORK ST,-122.4081804,37.75203515,"(37.7520351527768, -122.40818042923)",1.50E+13
150467079,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Thursday,05/28/2015,23:15,MISSION,NONE,1200 Block of YORK ST,-122.4081804,37.75203515,"(37.7520351527768, -122.40818042923)",1.50E+13
150469291,ROBBERY,ATTEMPTED ROBBERY WITH BODILY FORCE,Thursday,05/28/2015,23:00,MISSION,NONE,MISSION ST / 24TH ST,-122.4184482,37.75223917,"(37.7522391652625, -122.418448186101)",1.50E+13
150467035,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Thursday,05/28/2015,22:55,SOUTHERN,"ARREST, BOOKED",KING ST / 2ND ST,-122.3895953,37.7798612,"(37.7798611974198, -122.389595283252)",1.50E+13
150467057,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,05/28/2015,22:55,MISSION,"ARREST, BOOKED",CASTRO ST / MARKET ST,-122.4351877,37.76267028,"(37.7626702770872, -122.435187699349)",1.50E+13
150467057,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Thursday,05/28/2015,22:55,MISSION,"ARREST, BOOKED",CASTRO ST / MARKET ST,-122.4351877,37.76267028,"(37.7626702770872, -122.435187699349)",1.50E+13
150467035,OTHER OFFENSES,"PERMIT VIOLATION, POLICE (GENERAL)",Thursday,05/28/2015,22:55,SOUTHERN,"ARREST, BOOKED",KING ST / 2ND ST,-122.3895953,37.7798612,"(37.7798611974198, -122.389595283252)",1.50E+13
